Auction ID,iPhone Model,Storage,Grade,Units,Carrier,Handset Only,Bulk Price (Current Bid),Site Avg $/Unit,Fee @ 2%,Total Excl. Shipping,Cost Per Unit,Bids,Closes In,Location,Auction Link
50370,iPhone 17 Pro Max,512GB,New,20,T-Mobile,Yes,21200.0,1060.0,424.0,21624.0,1081.2,24,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50370/
50424,iPhone 17 Pro Max,256GB,A,20,Generic,No,16050.0,802.5,321.0,16371.0,818.55,4,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50424/
50429,iPhone 17 Pro,256GB,B,20,Generic,No,13050.0,652.5,261.0,13311.0,665.55,7,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50429/
50423,iPhone 17,512GB,A,20,T-Mobile,No,11050.0,552.5,221.0,11271.0,563.55,4,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50423/
50427,iPhone 17,256GB,A,20,AT&T,No,8500.0,425.0,170.0,8670.0,433.5,0,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50427/
50422,iPhone 17,256GB,B,20,AT&T,No,8000.0,400.0,160.0,8160.0,408.0,1,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50422/
50428,iPhone 17,256GB,C,20,AT&T,No,7800.0,390.0,156.0,7956.0,397.8,0,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50428/
50412,iPhone 16 Pro Max,1TB,C,20,AT&T,No,12000.0,600.0,240.0,12240.0,612.0,2,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50412/
50416,iPhone 16 Pro Max,512GB,A,20,AT&T,No,12000.0,600.0,240.0,12240.0,612.0,5,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50416/
50411,iPhone 16 Pro Max,256GB,A,20,Generic,No,11150.0,557.5,223.0,11373.0,568.65,8,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50411/
50417,iPhone 16 Pro Max,256GB,B,20,Generic,No,10200.0,510.0,204.0,10404.0,520.2,2,1d 8h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50417/
50410,iPhone 16 Pro,512GB,B,20,T-Mobile,No,8938.0,446.9,178.76,9116.76,455.84,3,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50410/
50415,iPhone 16 Plus,256GB,B,20,T-Mobile,No,7425.0,371.25,148.5,7573.5,378.68,18,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50415/
50420,iPhone 16 Plus,256GB,B,20,AT&T,No,6150.0,307.5,123.0,6273.0,313.65,2,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50420/
50414,iPhone 16 Plus,128GB,A,20,AT&T,No,8050.0,402.5,161.0,8211.0,410.55,10,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50414/
50409,iPhone 16 Plus,128GB,C,20,Generic,No,5525.0,276.25,110.5,5635.5,281.77,2,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50409/
50419,iPhone 16,256GB,B,20,T-Mobile,No,5725.0,286.25,114.5,5839.5,291.98,6,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50419/
50348,iPhone 16,128GB,C,246,T-Mobile,No,63960.0,260.0,1279.2,65239.2,265.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50348/
50426,iPhone 16e,256GB,B,20,T-Mobile,No,5277.0,263.85,105.54,5382.54,269.13,7,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50426/
50421,iPhone 16e,256GB,C,20,T-Mobile,No,3804.0,190.2,76.08,3880.08,194.0,5,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50421/
50369,iPhone 16e,128GB,New,20,T-Mobile,Yes,6075.0,303.75,121.5,6196.5,309.82,3,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50369/
50408,iPhone 15 Pro Max,512GB,B,20,T-Mobile,No,10170.0,508.5,203.4,10373.4,518.67,12,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50408/
50407,iPhone 15 Pro Max,512GB,C,20,AT&T,No,6800.0,340.0,136.0,6936.0,346.8,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50407/
50406,iPhone 15 Pro Max,256GB,A,20,Generic,No,7200.0,360.0,144.0,7344.0,367.2,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50406/
50400,iPhone 15 Pro Max,256GB,B,20,Generic,No,8550.0,427.5,171.0,8721.0,436.05,8,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50400/
50343,iPhone 15 Pro Max,256GB,C,250,T-Mobile,No,85000.0,340.0,1700.0,86700.0,346.8,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50343/
50347,iPhone 15 Pro Max,256GB,C,180,T-Mobile,No,61200.0,340.0,1224.0,62424.0,346.8,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50347/
50413,iPhone 15 Pro,1TB,C,20,T-Mobile,No,5000.0,250.0,100.0,5100.0,255.0,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50413/
50399,iPhone 15 Pro,256GB,A,20,AT&T,No,6025.0,301.25,120.5,6145.5,307.27,6,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50399/
50405,iPhone 15 Pro,128GB,A,20,AT&T,No,6000.0,300.0,120.0,6120.0,306.0,2,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50405/
50345,iPhone 15 Pro,128GB,C,240,T-Mobile,No,60000.0,250.0,1200.0,61200.0,255.0,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50345/
50354,iPhone 15 Pro,128GB,C,118,T-Mobile,No,29500.0,250.0,590.0,30090.0,255.0,0,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50354/
50404,iPhone 15 Plus,256GB,B,20,AT&T,No,4300.0,215.0,86.0,4386.0,219.3,1,1d 9h,"Dallas, TX",https://bstock.com/superior/auction/auction/view/id/50404/
