Auction ID,iPhone Model,Storage,Grade,Carrier,Units,Cost Per Unit,eBay Comps (n),eBay Min,eBay Median,eBay Max,Cashout Cond,Cashout Vendors (n),Cashout Min,Cashout Max,Profit/Unit @ Cashout Min,Profit/Unit @ Cashout Max,Profit/Unit @ eBay Min,Profit/Unit @ eBay Max,Total @ Cashout Min,Total @ Cashout Max,Total @ eBay Min,Total @ eBay Max,Comp Conditions Used,Comp Lock Mix,Match Warning
50370,iPhone 17 Pro Max,512GB,New,T-Mobile,20,1081.2,3,1199.0,1442.49,1479.0,MINT,14,876,1039,-205.2,-42.2,117.8,397.8,-4104.0,-844.0,2356.0,7956.0,"2 Open Box, 1 Brand New",3 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
50424,iPhone 17 Pro Max,256GB,A,Generic,20,818.55,9,730.0,1000.0,1124.99,GOOD,14,700,885,-118.55,66.45,-88.55,306.44,-2371.0,1329.0,-1771.0,6128.8,"8 Pre-Owned, 1 Excellent - Refurbished","6 Unlocked, 2 Verizon, 1 AT&T",
50429,iPhone 17 Pro,256GB,B,Generic,20,665.55,1,900.0,900.0,900.0,,,,,,,234.45,234.45,,,4689.0,4689.0,1 Pre-Owned,1 Unlocked,Thin: 1 comp(s)
50423,iPhone 17,512GB,A,T-Mobile,20,563.55,,,,,,,,,,,,,,,,,,,No comp on this page set for this model + storage
50427,iPhone 17,256GB,A,AT&T,20,433.5,10,450.0,576.5,784.45,,,,,,,16.5,350.95,,,330.0,7019.0,"6 Pre-Owned, 4 Excellent - Refurbished","7 Unlocked, 1 T-Mobile, 1 Not stated","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50422,iPhone 17,256GB,B,AT&T,20,408.0,6,450.0,515.0,700.0,,,,,,,42.0,292.0,,,840.0,5840.0,6 Pre-Owned,"4 Unlocked, 1 T-Mobile, 1 Not stated","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50428,iPhone 17,256GB,C,AT&T,20,397.8,6,450.0,515.0,700.0,,,,,,,52.2,302.2,,,1044.0,6044.0,6 Pre-Owned,"4 Unlocked, 1 T-Mobile, 1 Not stated","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50412,iPhone 16 Pro Max,1TB,C,AT&T,20,612.0,3,839.99,850.0,924.99,,,,,,,227.99,312.99,,,4559.8,6259.8,"2 Pre-Owned, 1 Good - Refurbished","2 Unlocked, 1 Xfinity","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50416,iPhone 16 Pro Max,512GB,A,AT&T,20,612.0,2,420.0,635.0,850.0,,,,,,,-192.0,238.0,,,-3840.0,4760.0,2 Pre-Owned,"1 AT&T, 1 Unlocked",Thin: 2 comp(s)
50411,iPhone 16 Pro Max,256GB,A,Generic,20,568.65,5,709.99,720.0,850.0,,,,,,,141.34,281.35,,,2826.8,5627.0,5 Pre-Owned,5 Unlocked,
50417,iPhone 16 Pro Max,256GB,B,Generic,20,520.2,7,709.99,775.0,850.0,,,,,,,189.79,329.8,,,3795.8,6596.0,"5 Pre-Owned, 2 Very Good - Refurbished",7 Unlocked,
50410,iPhone 16 Pro,512GB,B,T-Mobile,20,455.84,1,800.0,800.0,800.0,,,,,,,344.16,344.16,,,6883.24,6883.24,1 Very Good - Refurbished,1 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount | Thin: 1 comp(s)"
50415,iPhone 16 Plus,256GB,B,T-Mobile,20,378.68,3,450.0,559.99,637.99,,,,,,,71.32,259.31,,,1426.5,5186.3,"2 Pre-Owned, 1 Very Good - Refurbished",3 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
50420,iPhone 16 Plus,256GB,B,AT&T,20,313.65,3,450.0,559.99,637.99,,,,,,,136.35,324.34,,,2727.0,6486.8,"2 Pre-Owned, 1 Very Good - Refurbished",3 Unlocked,"Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50414,iPhone 16 Plus,128GB,A,AT&T,20,410.55,3,389.95,400.0,499.95,,,,,,,-20.6,89.4,,,-412.0,1788.0,3 Pre-Owned,"2 Unlocked, 1 Verizon","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50409,iPhone 16 Plus,128GB,C,Generic,20,281.77,3,389.95,400.0,499.95,,,,,,,108.18,218.18,,,2163.5,4363.5,3 Pre-Owned,"2 Unlocked, 1 Verizon",
50419,iPhone 16,256GB,B,T-Mobile,20,291.98,2,519.0,534.5,549.99,,,,,,,227.02,258.01,,,4540.5,5160.3,2 Pre-Owned,2 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount | Thin: 2 comp(s)"
50348,iPhone 16,128GB,C,T-Mobile,246,265.2,,,,,,,,,,,,,,,,,,,No comp on this page set for this model + storage
50426,iPhone 16e,256GB,B,T-Mobile,20,269.13,2,299.98,364.15,428.33,,,,,,,30.85,159.2,,,617.06,3184.06,"1 Very Good - Refurbished, 1 Pre-Owned","1 Unlocked, 1 T-Mobile",Thin: 2 comp(s)
50421,iPhone 16e,256GB,C,T-Mobile,20,194.0,1,299.98,299.98,299.98,,,,,,,105.98,105.98,,,2119.52,2119.52,1 Pre-Owned,1 T-Mobile,Thin: 1 comp(s)
50369,iPhone 16e,128GB,New,T-Mobile,20,309.82,1,419.55,419.55,419.55,,,,,,,109.73,109.73,,,2194.5,2194.5,1 Open Box,1 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount | Thin: 1 comp(s)"
50408,iPhone 15 Pro Max,512GB,B,T-Mobile,20,518.67,5,500.0,550.0,600.0,,,,,,,-18.67,81.33,,,-373.4,1626.6,5 Pre-Owned,"2 Not stated, 1 Spectrum, 1 AT&T","Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
50407,iPhone 15 Pro Max,512GB,C,AT&T,20,346.8,5,500.0,550.0,600.0,,,,,,,153.2,253.2,,,3064.0,5064.0,5 Pre-Owned,"2 Not stated, 1 Spectrum, 1 AT&T",
50406,iPhone 15 Pro Max,256GB,A,Generic,20,367.2,9,495.0,549.0,580.0,,,,,,,127.8,212.8,,,2556.0,4256.0,9 Pre-Owned,9 Unlocked,
50400,iPhone 15 Pro Max,256GB,B,Generic,20,436.05,11,495.0,549.99,671.51,,,,,,,58.95,235.46,,,1179.0,4709.2,"9 Pre-Owned, 2 Very Good - Refurbished",11 Unlocked,
50343,iPhone 15 Pro Max,256GB,C,T-Mobile,250,346.8,10,495.0,549.5,599.99,,,,,,,148.2,253.19,,,37050.0,63297.5,"9 Pre-Owned, 1 Good - Refurbished",10 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
50347,iPhone 15 Pro Max,256GB,C,T-Mobile,180,346.8,10,495.0,549.5,599.99,,,,,,,148.2,253.19,,,26676.0,45574.2,"9 Pre-Owned, 1 Good - Refurbished",10 Unlocked,"Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
50413,iPhone 15 Pro,1TB,C,T-Mobile,20,255.0,,,,,,,,,,,,,,,,,,,No comp on this page set for this model + storage
50399,iPhone 15 Pro,256GB,A,AT&T,20,307.27,3,450.0,504.99,549.0,,,,,,,142.73,241.73,,,2854.5,4834.5,3 Pre-Owned,"2 Unlocked, 1 AT&T","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50405,iPhone 15 Pro,128GB,A,AT&T,20,306.0,4,349.99,462.5,544.99,,,,,,,43.99,238.99,,,879.8,4779.8,4 Pre-Owned,"3 Unlocked, 1 AT&T","Lot is AT&T-locked, comps mostly Unlocked - expect a discount"
50345,iPhone 15 Pro,128GB,C,T-Mobile,240,255.0,4,349.99,462.5,544.99,,,,,,,94.99,289.99,,,22797.6,69597.6,4 Pre-Owned,"3 Unlocked, 1 AT&T","Lot is T-Mobile-locked, comps mostly Unlocked - expect a discount"
