position,asin,model,storage,carrier_lock,grades_available,default_grade,price_usd,rating,review_count,url
1,B0BN72FYFG,iPhone 14,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,298.00,4.1,12900,https://www.amazon.com/dp/B0BN72FYFG
2,B08PP5MSVB,iPhone 12,64GB,Unlocked,"Excellent; Good; Acceptable",Excellent,192.00,4.1,35800,https://www.amazon.com/dp/B08PP5MSVB
3,B09LNW3CY2,iPhone 13,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,277.50,4.0,27400,https://www.amazon.com/dp/B09LNW3CY2
4,B0CMPMY9ZZ,iPhone 15,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,409.89,3.9,6300,https://www.amazon.com/dp/B0CMPMY9ZZ
5,B088NQXD8T,iPhone SE (2nd gen),64GB,Unlocked (US version),"Excellent; Good; Acceptable",Excellent,104.00,4.2,22400,https://www.amazon.com/dp/B088NQXD8T
6,B0F4RM7Y2L,iPhone 16e,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,376.69,4.3,1700,https://www.amazon.com/dp/B0F4RM7Y2L
7,B0BDY71GRG,iPhone SE (3rd gen),64GB,Unlocked,"Excellent; Good; Acceptable",Excellent,134.00,4.0,5700,https://www.amazon.com/dp/B0BDY71GRG
8,B07ZPKN6YR,iPhone 11,64GB,Unlocked,"Excellent; Good; Acceptable",Excellent,175.34,4.2,60400,https://www.amazon.com/dp/B07ZPKN6YR
9,B0CMT4XDSC,iPhone 15 Plus,128GB,Unlocked,"Excellent; Good",Excellent,435.07,4.1,3200,https://www.amazon.com/dp/B0CMT4XDSC
10,B0BN9P1GXC,iPhone 14 Pro Max,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,507.92,4.0,6000,https://www.amazon.com/dp/B0BN9P1GXC
11,B0BN9426PP,iPhone 14 Plus,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,324.90,4.0,8500,https://www.amazon.com/dp/B0BN9426PP
12,B08PNKN4J7,iPhone 12 mini,128GB,Unlocked,"Excellent; Good",Excellent,179.90,4.0,19300,https://www.amazon.com/dp/B08PNKN4J7
13,B0CMZDBVWT,iPhone 15 Pro Max,256GB,Unlocked,"Excellent; Good; Acceptable",Excellent,679.00,4.0,6400,https://www.amazon.com/dp/B0CMZDBVWT
14,B0DHJ896RY,iPhone 16 Pro Max,256GB,Unlocked,"Excellent; Good",Excellent,814.92,4.2,3700,https://www.amazon.com/dp/B0DHJ896RY
15,B0BN96CCM6,iPhone 14 Pro,256GB,Unlocked,"Excellent; Good",Excellent,449.11,4.1,6200,https://www.amazon.com/dp/B0BN96CCM6
16,B0DHJH2GZL,iPhone 16,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,569.00,4.2,2300,https://www.amazon.com/dp/B0DHJH2GZL
17,B09LKTXKXQ,iPhone 13 mini,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,224.00,3.8,7800,https://www.amazon.com/dp/B09LKTXKXQ
18,B0CMZ5LT14,iPhone 15 Pro,256GB,Unlocked,"Excellent; Good",Excellent,609.00,4.0,5000,https://www.amazon.com/dp/B0CMZ5LT14
19,B0DHJCTZ4D,iPhone 16 Plus,128GB,Unlocked,"Excellent; Good; Acceptable",Excellent,609.99,4.2,1600,https://www.amazon.com/dp/B0DHJCTZ4D
20,B08PMYLKVF,iPhone 12 Pro,128GB,Unlocked,"Excellent; Good",Excellent,289.99,4.1,13500,https://www.amazon.com/dp/B08PMYLKVF
21,B0DHJ3SRDL,iPhone 16 Pro,256GB,Unlocked,"Excellent; Good",Excellent,757.95,4.1,2700,https://www.amazon.com/dp/B0DHJ3SRDL
22,B08PMP778K,iPhone 12 Pro Max,128GB,Fully Unlocked,"Excellent; Good; Acceptable",Excellent,348.00,4.2,12600,https://www.amazon.com/dp/B08PMP778K
23,B09LP77GDL,iPhone 13 Pro,128GB,Unlocked,"Excellent; Good",Excellent,388.95,4.1,11800,https://www.amazon.com/dp/B09LP77GDL
